ATVI,Activision Blizzard Inc,NASDAQ,Stock,1993-10-25,null,Active
ADBE,Adobe Inc,NASDAQ,Stock,1986-08-14,null,Active
AMD,Advanced Micro Devices Inc,NASDAQ,Stock,1983-03-21,null,Active
ALGN,Align Technology Inc,NASDAQ,Stock,2001-01-30,null,Active
AMZN,Amazon.com Inc,NASDAQ,Stock,1997-05-15,null,Active
AMGN,AMGEN Inc,NASDAQ,Stock,1984-09-07,null,Active
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,null,Active
ADI,Analog Devices Inc,NASDAQ,Stock,1984-07-19,null,Active
AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,null,Active
AMAT,Applied Materials Inc,NASDAQ,Stock,1984-09-07,null,Active
ASML,ASML Holding NV,NASDAQ,Stock,1995-03-16,null,Active
ADSK,Autodesk Inc,NASDAQ,Stock,1985-07-01,null,Active
ADP,Automatic Data Processing Inc,NASDAQ,Stock,1983-04-06,null,Active
AVGO,Broadcom Inc,NASDAQ,Stock,2009-08-06,null,Active
BIDU,Baidu Inc,NASDAQ,Stock,2005-08-05,null,Active
BIIB,Biogen Inc,NASDAQ,Stock,1991-09-17,null,Active
BMRN,Biomarin Pharmaceutical Inc,NASDAQ,Stock,1999-07-26,null,Active
CDNS,Cadence Design Systems Inc,NASDAQ,Stock,1990-03-26,null,Active
CHKP,Check Point Software Technolgies,NASDAQ,Stock,1996-06-28,null,Active
CHTR,Charter Communications Inc - Class A,NASDAQ,Stock,2010-01-05,null,Active
TCOM,Trip.com Group Ltd,NASDAQ,Stock,2003-12-09,null,Active
CTAS,Cintas Corporation,NASDAQ,Stock,1990-03-26,null,Active
CSCO,Cisco Systems Inc,NASDAQ,Stock,1990-03-26,null,Active
CMCSA,Comcast Corp - Class A,NASDAQ,Stock,1988-07-07,null,Active
COST,Costco Wholesale Corp,NASDAQ,Stock,1986-07-09,null,Active
CSX,CSX Corp,NASDAQ,Stock,1980-11-03,null,Active
CTSH,Cognizant Technology Solutions Corp - Class A,NASDAQ,Stock,1998-06-19,null,Active
DLTR,Dollar Tree Inc,NASDAQ,Stock,1995-03-09,null,Active
EA,Electronic Arts Inc,NASDAQ,Stock,1990-03-26,null,Active
EBAY,EBay Inc,NASDAQ,Stock,1998-09-24,null,Active
EXC,Exelon Corp,NASDAQ,Stock,1980-01-02,null,Active
EXPE,Expedia Group Inc,NASDAQ,Stock,2005-07-21,null,Active
FAST,Fastenal Company,NASDAQ,Stock,1990-03-26,null,Active
FISV,Fiserv Inc,NASDAQ,Stock,1990-03-26,null,Active
GILD,Gilead Sciences Inc,NASDAQ,Stock,1992-01-22,null,Active
GOOG,Alphabet Inc - Class C,NASDAQ,Stock,2014-03-27,null,Active
GOOGL,Alphabet Inc - Class A,NASDAQ,Stock,2004-08-19,null,Active
HAS,Hasbro Inc,NASDAQ,Stock,1984-12-18,null,Active
HSIC,Henry Schein Inc,NASDAQ,Stock,1995-11-03,null,Active
ILMN,Illumina Inc,NASDAQ,Stock,2000-07-28,null,Active
INCY,Incyte Corp,NASDAQ,Stock,1993-11-04,null,Active
INTC,Intel Corp,NASDAQ,Stock,1980-03-17,null,Active
INTU,Intuit Inc,NASDAQ,Stock,1993-03-22,null,Active
ISRG,Intuitive Surgical Inc,NASDAQ,Stock,2000-06-16,null,Active
IDXX,Idexx Laboratories Inc,NASDAQ,Stock,1991-06-24,null,Active
JBHT,J.B. Hunt Transport Services Inc,NASDAQ,Stock,1990-03-26,null,Active
JD,JD.com Inc,NASDAQ,Stock,2014-05-22,null,Active
KLAC,KLA Corp,NASDAQ,Stock,1990-03-26,null,Active
KHC,Kraft Heinz Company,NASDAQ,Stock,2015-07-06,null,Active
LRCX,Lam Research Corp,NASDAQ,Stock,1990-03-26,null,Active
LBTYA,Liberty Global plc - Class A,NASDAQ,Stock,2004-06-03,null,Active
LBTYK,Liberty Global plc - Class C,NASDAQ,Stock,2005-09-08,null,Active
LULU,Lululemon Athletica Inc,NASDAQ,Stock,2007-07-27,null,Active
MELI,MercadoLibre Inc,NASDAQ,Stock,2007-08-10,null,Active
MAR,Marriott International Inc - Class A,NASDAQ,Stock,1993-10-13,null,Active
MCHP,Microchip Technology Inc,NASDAQ,Stock,1993-03-19,null,Active
MDLZ,Mondelez International Inc - Class A,NASDAQ,Stock,2001-06-13,null,Active
MNST,Monster Beverage Corp,NASDAQ,Stock,1995-08-18,null,Active
MSFT,Microsoft Corporation,NASDAQ,Stock,1986-03-13,null,Active
MU,Micron Technology Inc,NASDAQ,Stock,1989-05-16,null,Active
NTAP,Netapp Inc,NASDAQ,Stock,1995-11-21,null,Active
NFLX,Netflix Inc,NASDAQ,Stock,2002-05-23,null,Active
NTES,NetEase Inc,NASDAQ,Stock,2000-06-30,null,Active
NVDA,NVIDIA Corp,NASDAQ,Stock,1999-01-22,null,Active
NXPI,NXP Semiconductors NV,NASDAQ,Stock,2010-08-06,null,Active
ORLY,O`Reilly Automotive Inc,NASDAQ,Stock,1993-04-23,null,Active
PAYX,Paychex Inc,NASDAQ,Stock,1990-03-26,null,Active
PCAR,Paccar Inc,NASDAQ,Stock,1986-07-09,null,Active
BKNG,Booking Holdings Inc,NASDAQ,Stock,1999-03-31,null,Active
